"id","code","name","calories","protein","carbohydrates","fats","total_sugars","cholesterol","sodium","dietary_fiber","iron","calcium"
9167,21412108,"בשר בקר, כתף, מוקפץ עם ירקות בסגנון סיני עם שמן סויה",153.7485352,16.15131378,5.399418831,7.257000446,2.193149805,106.4776993,469.0769653,1.314436316,2.406041861,31.50358963
9168,21412118,"בשר בקר, כתף, מוקפץ עם ירקות בסגנון סיני עם שמן קנולה",153.7485352,16.15131378,5.399418831,7.257000446,2.193149805,106.4776993,469.0769653,1.314436316,2.404224634,31.50358963
9169,26102108,"דג אמנון-מושט, מבושל ברסק עגבניות ע""ב שמן קנולה וגמבה",21.75189972,0.481901854,2.812815428,0.823832929,1.959914684,0,260.0960388,0.590924501,0.347087592,7.302215099
9170,26153018,"דג טונה מבושל ברוטב עגבניות ושמן קנולה, חריימה",101.047226,13.99669552,3.249317646,3.004826784,2.016884565,21.34518242,373.4651794,0.845269263,0.644647777,12.82691574
9171,41602028,"מרק אפונה יבשה עם שמן קנולה",55.49847031,2.893526077,5.409425259,1.671939373,1.366414905,0,292.8007507,2.168457031,0.439564109,11.18557072
9172,41601138,"מרק שעועית לבנה עם סלרי ושמן קנולה",88.24365997,4.093548775,7.817755699,3.54631424,0.264915079,0,213.4616394,2.794745207,1.636733413,52.94804001
9173,41420038,"טופו מטוגן בשמן קנולה",265.1057434,17.6119194,1.853886247,20.80472374,0.514968395,0,140.2705231,0.720955789,2.915854216,279.195282
9174,13250018,"מוס שוקולד פרווה על בסיס ביצים",343.3657227,8.091137886,39.29167175,17.10562897,36.8327179,177.617691,72.15613556,3.601943493,4.416150093,51.84955215
9175,13250028,"מוס שוקולד חלבי עם קצפת",399.5465393,2.572375298,37.23055267,27.03174019,35.31565857,49.70352173,14.91942692,2.999651194,2.996874809,50.49232483
9176,31105068,"ביצה או חביתה עם חלב בשמן קנולה",217.5966187,11.59462547,1.347535372,18.14574623,1.03867352,329.6693115,373.0678711,0,1.550997019,65.0483017
9177,31105078,"ביצה או חביתה עם פטריות גבינה צהובה חלב 3% ושמן קנולה",198.7515717,12.14945316,1.412497759,15.94573689,1.126165509,247.8482971,348.498291,0.224134833,1.262125731,129.5678711
9178,31105088,"ביצה או חביתה עם נקניק סלמי מטוגן בשמן קנולה",249.5503693,13.5698719,1.649226189,20.73890877,1.159390688,307.9899902,572.2313232,0,2.105161428,45.65293503
9179,31105098,"חביתת ירק עם שמן קנולה",208.6708069,11.28082752,0.973766923,17.37684441,0.474643379,320.4182739,248.6943817,0.553070605,2.230959892,66.89434052
9180,31105108,"ביצה או חביתה עם פטריות וחלב 3% בשמן קנולה",178.7223969,9.997513771,1.52973938,14.58213139,1.212079763,264.5215759,299.597168,0.248657241,1.369131684,50.49731445
9181,41303018,"אליצ'ה אפונה וירקות אתיופי, עם שמן קנולה",139.6341248,6.211196423,13.81992817,4.360579014,2.435169458,0,223.0594788,6.635420799,1.150341153,17.86952019
9182,41305028,"עדשים מבושלים עם בצל ושמן קנולה",128.7297363,7.548343658,11.47725677,3.394701004,2.337013721,0,222.9976196,6.687407017,2.737103224,19.56932831
9183,41300138,"חמין צמחוני עם ביצה,חומוס,שעועית,תפוח אדמה ושמן קנולה",110.7198257,5.650782585,9.413651466,4.805443287,0.863402724,76.48799133,207.163269,2.613808632,1.07558763,33.03460693
9184,51107018,"לחם ביתי עם קמח לבן, ביצה ושמן קנולה",266.8422852,8.208848,42.15505981,5.985444069,1.854880095,23.87031364,233.6508026,2.670269012,0.845637739,16.41675186
9185,51140658,"פיתה בוכרית עם שמן קנולה",321.0359802,7.051369667,47.85518265,10.0539999,2.029421568,0,149.0002136,2.096882582,0.763911843,12.4376688
9186,51141238,"חלה ביתית עם שמן קנולה",309.849884,9.238230705,50.68558884,6.452769279,5.868059158,74.7868576,386.4739075,2.39078784,1.049569964,21.88207436
